1274,6994,1,23154,1
6761,99902,3,86257,1
5925,26250,2,49897,0
5577,69034,0,65351,1
7427,87932,1,31691,0
5366,67421,2,16723,0
2520,35881,2,55883,1
6433,55274,4,29544,1
8912,70206,4,21600,1
1201,96980,4,96210,0
1529,75290,3,24325,1
9809,84868,4,53972,0
7725,94930,2,98868,1
4692,78764,4,15909,1
4900,14409,0,3426,1
9168,95565,2,59695,1
6970,72270,3,12056,1
7738,87620,1,26928,0
8403,96436,0,46970,0
3630,25934,2,51777,1
2543,26884,0,99218,1
7059,99187,0,55117,0
8181,22752,4,68987,0
5885,45343,2,22834,0
3933,54843,4,33748,0
3924,15726,2,25666,0
9857,93109,1,78017,1
1606,50631,1,22208,1
9917,33430,1,79859,0
8606,49906,3,44299,1
8814,40368,1,74739,0
9923,59155,1,41322,0
4463,20527,1,21384,0
7372,62553,4,26488,0
8140,88512,3,45160,0
4775,55886,1,62173,0
906,19372,2,70916,1
4028,35750,0,45825,1
3024,27780,3,74464,0
4975,65533,2,13672,0
5087,35028,4,79321,1
9708,13918,2,80835,1
3838,58489,1,89779,1
7267,66172,3,30019,0
4037,8358,2,4676,1
2396,32957,4,88516,1
4404,52326,2,472,1
6447,85967,3,81268,1
2832,41134,4,89175,1
8876,30970,3,36901,0
3141,8125,4,51378,0
1701,81480,3,48273,0
1484,9391,1,61464,1
9749,23068,1,77068,0
1742,72338,0,21040,1
6809,98556,2,28860,1
7510,39516,3,57571,1
1180,97653,1,97668,1
4179,47158,0,48927,0
3190,98733,0,66318,0
1196,98240,3,92768,1
4767,55876,1,61964,1
3588,31678,2,85974,1
1547,69568,3,13929,1
3576,27889,3,80796,1
3292,48849,2,79361,0
7401,82088,3,52268,0
2979,10036,4,34994,1
5824,56194,2,81715,1
6913,1128,1,25241,0
3656,69824,1,73739,1
3773,46598,3,10557,0
8331,92617,2,87703,1
985,44803,0,11913,0
9183,35790,0,31301,0
7489,53957,3,18104,1
4364,82778,2,69708,1
5431,69183,1,21723,0
1586,959,3,94681,0
6758,97517,4,4478,1
2368,57751,2,90048,0
7543,83275,2,53702,0
8369,33764,0,98711,0
9505,30265,4,33191,1
7469,32123,1,38760,0
8654,60207,0,94721,0
5302,38194,3,86486,0
8225,79372,4,710,1
3340,60315,1,78642,0
9599,62820,2,48363,0
8220,22424,4,41127,1
4241,97263,3,48446,0
9124,57726,0,54713,1
8623,88781,4,57787,1
9885,45239,4,76546,0
3880,78270,1,90821,0
9484,83494,1,94345,0
5073,3049,2,81926,0
638,61458,1,69892,0
